COMUNA,BARRIOS,AREA
2,RECOLETA,6317264.56099
5,ALMAGRO - BOEDO,6660603.11937
6,CABALLITO,6851028.91356999
7,FLORES - PARQUE CHACABUCO,12422900.8308
9,LINIERS - MATADEROS - PARQUE AVELLANEDA,16505305.7861
10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,12656556.9377999
11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,14120042.4238
12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,15570926.6375999
14,PALERMO,15845871.2875999
3,BALVANERA - SAN CRISTOBAL,6385991.39577999
15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8454999
4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
13,BELGRANO - COLEGIALES - NUÑEZ,14713213.1820999
